epoch,train_acc,valid_acc,train_loss,lr
1,0,0.5000000143129575,0,0.0001
2,0,0.5000000143129575,0,0.0001
3,0,0.5000000143129575,0,0.0001
4,0,0.5000000059065458,0,0.0001
5,0,0.5000000059065458,0,0.0001
6,0,0.5000000059065458,0,0.0001
7,0,0.5000000059065458,0,0.0001
8,0,0.5000000143129575,0,0.0001
9,0,0.5000000059065458,0,0.0001
10,0,0.5000000143129575,0,0.0001
11,0,0.5000000059065458,0,0.0001
12,0,0.5000000143129575,0,5e-05
13,0,0.5000000059065458,0,5e-05
14,0,0.5000000059065458,0,5e-05
15,0,0.5000000059065458,0,5e-05
16,0,0.5000000143129575,0,5e-05
17,0,0.5000000143129575,0,5e-05
18,0,0.5000000059065458,0,5e-05
19,0,0.5000000143129575,0,5e-05
20,0,0.5000000143129575,0,5e-05
21,0,0.5000000143129575,0,5e-05
22,0,0.5000000143129575,0,5e-05
23,0,0.5000000059065458,0,2.5e-05
24,0,0.5000000059065458,0,2.5e-05
25,0,0.5000000059065458,0,2.5e-05
26,0,0.5000000143129575,0,2.5e-05
27,0,0.5000000059065458,0,2.5e-05
28,0,0.5000000059065458,0,2.5e-05
29,0,0.5000000143129575,0,2.5e-05
30,0,0.5000000143129575,0,2.5e-05
31,0,0.5000000059065458,0,2.5e-05
32,0,0.5000000143129575,0,2.5e-05
33,0,0.5000000143129575,0,2.5e-05
34,0,0.5000000143129575,0,1.25e-05
35,0,0.5000000059065458,0,1.25e-05
36,0,0.5000000059065458,0,1.25e-05
37,0,0.5000000059065458,0,1.25e-05
38,0,0.5000000143129575,0,1.25e-05
39,0,0.5000000059065458,0,1.25e-05
40,0,0.5000000143129575,0,1.25e-05
41,0,0.5000000143129575,0,1.25e-05
42,0,0.5000000143129575,0,1.25e-05
43,0,0.5000000059065458,0,1.25e-05
44,0,0.5000000143129575,0,1.25e-05
45,0,0.5000000143129575,0,6.25e-06
46,0,0.5000000143129575,0,6.25e-06
47,0,0.5000000143129575,0,6.25e-06
48,0,0.5000000143129575,0,6.25e-06
49,0,0.5000000143129575,0,6.25e-06
50,0,0.5000000143129575,0,6.25e-06
